time,ch0,ch1
00:00:00.000.000,-0.0195,-1.3330
00:00:00.000.250,0.0195,-1.3818
00:00:00.000.500,0.0415,-1.4526
00:00:00.000.750,0.0513,-1.4917
00:00:00.001.000,0.0708,-1.5332
00:00:00.001.250,0.1001,-1.5820
00:00:00.001.500,0.1196,-1.6211
00:00:00.001.750,0.1196,-1.6406
00:00:00.002.000,0.1196,-1.7017
00:00:00.002.250,0.1489,-1.7407
00:00:00.002.500,0.1392,-1.7603
00:00:00.002.750,0.1587,-1.7822
00:00:00.003.000,0.1489,-1.8018
00:00:00.003.250,0.1489,-1.8311
00:00:00.003.500,0.2197,-1.8018
00:00:00.003.750,0.4077,-1.7017
00:00:00.004.000,0.2490,-1.6016
00:00:00.004.250,0.2686,-1.5112
00:00:00.004.500,0.2783,-1.4136
00:00:00.004.750,0.2881,-1.2842
00:00:00.005.000,0.3003,-1.1646
00:00:00.005.250,0.3296,-1.0254
00:00:00.005.500,0.3687,-0.8643
00:00:00.005.750,0.3979,-0.7056
00:00:00.006.000,0.3882,-0.5371
00:00:00.006.250,0.4077,-0.3882
00:00:00.006.500,0.4492,-0.2295
00:00:00.006.750,0.4785,-0.0879
00:00:00.007.000,0.4883,0.0708
00:00:00.007.250,0.4980,0.2002
00:00:00.007.500,0.4980,0.3491
00:00:00.007.750,0.4883,0.4688
00:00:00.008.000,0.4785,0.5786
00:00:00.008.250,0.4395,0.6982
00:00:00.008.500,0.4175,0.8179
00:00:00.008.750,0.3491,0.9155
00:00:00.009.000,0.2783,1.0156
00:00:00.009.250,0.2393,1.0962
00:00:00.009.500,0.2002,1.1548
00:00:00.009.750,0.1489,1.2256
00:00:00.010.000,0.1196,1.2939
00:00:00.010.250,0.1001,1.3550
00:00:00.010.500,0.0806,1.4038
00:00:00.010.750,0.0293,1.4429
00:00:00.011.000,0.0195,1.4941
00:00:00.011.250,0.0000,1.5332
00:00:00.011.500,-0.0098,1.5942
00:00:00.011.750,-0.0195,1.6138
00:00:00.012.000,-0.0488,1.6626
00:00:00.012.250,-0.0391,1.6724
00:00:00.012.500,-0.0488,1.7017
00:00:00.012.750,-0.0293,1.7432
00:00:00.013.000,-0.0586,1.7822
00:00:00.013.250,-0.1196,1.8213
00:00:00.013.500,-0.1196,1.8018
00:00:00.013.750,-0.1392,1.7334
00:00:00.014.000,-0.1880,1.6235
00:00:00.014.250,-0.1880,1.5137
00:00:00.014.500,-0.1978,1.4038
00:00:00.014.750,-0.2173,1.2744
00:00:00.015.000,-0.1978,1.1646
00:00:00.015.250,-0.2588,1.0254
00:00:00.015.500,-0.2979,0.8472
00:00:00.015.750,-0.3076,0.6885
00:00:00.016.000,-0.2881,0.5176
00:00:00.016.250,-0.3369,0.3589
00:00:00.016.500,-0.3589,0.2197
00:00:00.016.750,-0.3589,0.0806
00:00:00.017.000,-0.3784,-0.0879
00:00:00.017.250,-0.3979,-0.2173
00:00:00.017.500,-0.4175,-0.3687
00:00:00.017.750,-0.3784,-0.4761
00:00:00.018.000,-0.3589,-0.5957
00:00:00.018.250,-0.2979,-0.6958
00:00:00.018.500,-0.2588,-0.8057
00:00:00.018.750,-0.2075,-0.9058
00:00:00.019.000,-0.1489,-1.0059
00:00:00.019.250,-0.1196,-1.1035
00:00:00.019.500,-0.0684,-1.1938
00:00:00.019.750,-0.0293,-1.2646
00:00:00.020.000,0.0000,-1.3135
00:00:00.020.250,0.0098,-1.3940
00:00:00.020.500,0.0293,-1.4331
00:00:00.020.750,0.0513,-1.4819
00:00:00.021.000,0.0806,-1.5234
00:00:00.021.250,0.0806,-1.5820
