time,ch0,ch1
00:00:00.000.000,0.3296,-0.6055
00:00:00.000.333,0.3784,-0.4077
00:00:00.000.666,0.4077,-0.2393
00:00:00.000.999,0.4395,-0.0684
00:00:00.001.332,0.4688,0.1099
00:00:00.001.665,0.4785,0.2686
00:00:00.001.998,0.4688,0.4175
00:00:00.002.331,0.4590,0.5371
00:00:00.002.664,0.4175,0.6665
00:00:00.002.997,0.3784,0.7959
00:00:00.003.330,0.2881,0.8960
00:00:00.003.663,0.2588,0.9863
00:00:00.003.996,0.1904,1.0767
00:00:00.004.329,0.1489,1.1646
00:00:00.004.662,0.1099,1.2451
00:00:00.004.995,0.1001,1.2939
00:00:00.005.328,0.0610,1.3647
00:00:00.005.661,0.0293,1.4136
00:00:00.005.994,0.0098,1.4526
00:00:00.006.327,-0.0098,1.4941
00:00:00.006.660,0.0000,1.5430
00:00:00.006.993,0.0000,1.5625
00:00:00.007.326,0.0000,1.6138
00:00:00.007.659,-0.0586,1.6040
00:00:00.007.992,-0.4175,1.4941
00:00:00.008.325,-0.1196,1.3843
00:00:00.008.658,-0.1587,1.2646
00:00:00.008.991,-0.1587,1.1353
00:00:00.009.324,-0.1880,0.9766
00:00:00.009.657,-0.2295,0.7959
00:00:00.009.990,-0.2783,0.5884
00:00:00.010.323,-0.2881,0.3979
00:00:00.010.656,-0.3174,0.2197
00:00:00.010.989,-0.3467,0.0415
00:00:00.011.322,-0.3784,-0.1196
00:00:00.011.655,-0.3979,-0.2979
00:00:00.011.988,-0.3882,-0.4272
00:00:00.012.321,-0.3467,-0.5664
00:00:00.012.654,-0.2979,-0.6958
00:00:00.012.987,-0.2490,-0.7959
00:00:00.013.320,-0.1587,-0.9253
00:00:00.013.653,-0.1196,-1.0059
00:00:00.013.986,-0.0781,-1.0938
00:00:00.014.319,-0.0488,-1.1841
00:00:00.014.652,-0.0293,-1.2524
00:00:00.014.985,0.0000,-1.3232
00:00:00.015.318,0.0293,-1.3721
00:00:00.015.651,0.0293,-1.4331
00:00:00.015.984,0.0415,-1.4722
00:00:00.016.317,0.0708,-1.5112
00:00:00.016.650,0.0708,-1.5430
00:00:00.016.983,0.0806,-1.5918
00:00:00.017.316,0.0903,-1.6528
00:00:00.017.649,0.1001,-1.6309
00:00:00.017.982,0.1489,-1.5430
00:00:00.018.315,0.1904,-1.4233
00:00:00.018.648,0.2197,-1.3037
00:00:00.018.981,0.2197,-1.1646
00:00:00.019.314,0.2783,-1.0059
00:00:00.019.647,0.3198,-0.8252
00:00:00.019.980,0.3394,-0.6274
00:00:00.020.313,0.3589,-0.4272
00:00:00.020.646,0.4077,-0.2686
00:00:00.020.979,0.4395,-0.0781
00:00:00.021.312,0.4883,0.1001
00:00:00.021.645,0.4980,0.2588
00:00:00.021.978,0.4785,0.4077
00:00:00.022.311,0.4688,0.5469
00:00:00.022.644,0.4297,0.6665
00:00:00.022.977,0.3784,0.7959
00:00:00.023.310,0.3003,0.8862
00:00:00.023.643,0.2393,0.9961
00:00:00.023.976,0.2002,1.0864
00:00:00.024.309,0.1587,1.1743
00:00:00.024.642,0.1196,1.2451
00:00:00.024.975,0.0806,1.3135
00:00:00.025.308,0.0610,1.3647
00:00:00.025.641,0.0293,1.4233
00:00:00.025.974,0.0098,1.4526
00:00:00.026.307,0.0000,1.4844
00:00:00.026.640,0.0098,1.5234
00:00:00.026.973,0.0195,1.5723
00:00:00.027.306,0.0000,1.6235
00:00:00.027.639,-0.0586,1.6138
00:00:00.027.972,-0.1001,1.5234
00:00:00.028.305,-0.1196,1.4136
00:00:00.028.638,-0.1392,1.2744
00:00:00.028.971,-0.1489,1.1450
00:00:00.029.304,-0.1880,1.0059
00:00:00.029.637,-0.2490,0.8179
00:00:00.029.970,-0.2783,0.5981
00:00:00.030.303,-0.2881,0.4175
00:00:00.030.636,-0.3271,0.2393
00:00:00.030.969,-0.3687,0.0610
00:00:00.031.302,-0.3784,-0.1099
00:00:00.031.635,-0.4077,-0.2686
00:00:00.031.968,-0.3882,-0.4272
00:00:00.032.301,-0.3589,-0.5566
00:00:00.032.634,-0.2979,-0.6763
00:00:00.032.967,-0.2295,-0.8057
00:00:00.033.300,-0.1685,-0.9058
00:00:00.033.633,-0.1001,-1.0059
00:00:00.033.966,-0.0781,-1.0938
00:00:00.034.299,-0.0684,-1.1938
00:00:00.034.632,-0.0098,-1.2427
00:00:00.034.965,0.0098,-1.3037
00:00:00.035.298,0.0098,-1.3721
