E,U/N
975,0
"985,75","0,229885057471264"
"999,18","0,465116279069767"
"1012,61","0,705882352941176"
"1026,04","1,19047619047619"
"1039,47","1,68674698795181"
"1052,9","2,68292682926829"
"1066,44","4,5"
"1079,76","8,16326530612245"
"1093,19","15,7068062827225"
"1106,62","35,7333333333333"
"1120,05","90,2702702702703"
"1133,48","179,178082191781"
"1146,91","331,666666666667"
"1160,34",484
"1173,77","704,117647058824"
"1187,2","982,769230769231"
"1200,63","1185,625"
"1214,06","1440,65573770492"
"1227,49","1760,67796610169"
1241,"2066,89655172414"
"1254,35","2426,42857142857"
"1267,78","2812,59259259259"
"1281,2","3305,38461538462"
"1294,6","3757,6"
"1308,7","4164,16666666667"
"1321,5","4289,27038626609"
"1334,93","4441,77777777778"
"1361,79","4670,09345794393"
"1375,22",4497
"1388,65","4612,30769230769"
"1402,08","4202,94426919033"
"1415,51","4172,52747252747"
"1428,94","4087,5"
"1442,37","4044,04761904762"
"1455,8","4046,83544303797"
"1469,23","3817,83439490446"
"1482,66","3729,33333333333"
"1496,09","3533,33333333333"
"1509,52","3516,9014084507"
"1522,95","3473,91304347826"
"1536,38","3454,13533834586"
"1549,81",3380
"1563,24","3276,5625"
"1576,67","3169,84126984127"
"1590,1","3035,2"
"1603,53","2875,2"
"1616,96","2737,09677419355"
"1630,39","2661,66666666667"
"1643,82","2661,66666666667"
"1657,25",2495
"1670,68","2411,66666666667"
"1684,11","2367,79661016949"
"1697,54","2292,76595744681"
"1710,97","2207,65957446809"
"1724,4","2117,14770797963"
"1737,83","2035,71428571429"
