E,"U,N"
975,0
"985,75",0
"999,18",0
"1012,61",0
"1026,04",0
"1039,47",0
"1052,9",0
"1066,44","1,5"
"1079,76","2,04081632653061"
"1093,19","3,66492146596859"
"1106,62","6,93333333333333"
"1120,05","16,2162162162162"
"1133,48","38,3561643835616"
"1146,91",75
"1160,34","125,714285714286"
"1173,77","188,235294117647"
"1187,2","276,923076923077"
"1200,63",375
"1214,06","459,016393442623"
"1227,49","542,372881355932"
1241,"655,172413793103"
"1254,35","785,714285714286"
"1267,78","925,925925925926"
"1281,2","1115,38461538462"
"1294,6",1280
"1308,7","1333,33333333333"
"1321,5","1373,39055793991"
"1334,93","1422,22222222222"
"1361,79","1495,32710280374"
"1375,22",1600
"1388,65","1538,46153846154"
"1402,08","1472,13459516299"
"1415,51","1428,57142857143"
"1428,94","1363,63636363636"
"1442,37","1309,52380952381"
"1455,8","1392,40506329114"
"1469,23","1273,88535031847"
"1482,66","1066,66666666667"
"1496,09","816,326530612245"
"1509,52","492,957746478873"
"1522,95","188,405797101449"
"1536,38","52,6315789473684"
"1549,81","8,46153846153846"
"1563,24","5,46875"
"1576,67","4,76190476190476"
"1590,1",4
